user_id,task_id,task_type,task_complexity,estimated_duration,start_hour,time_since_last_break,previous_task_type,interruptions,energy_level,completed
0,T0,creative,3,81,12,121,routine,1,3,0
0,T1,routine,3,31,7,87,creative,2,3,0
0,T2,admin,5,117,22,58,routine,1,5,0
0,T3,deep,3,117,8,50,admin,2,3,1
0,T4,admin,2,18,7,83,deep,2,5,1
0,T5,creative,4,59,13,131,admin,2,4,0
0,T6,admin,2,53,7,13,creative,3,4,1
0,T7,routine,5,91,20,52,admin,3,3,0
0,T8,creative,1,80,14,87,routine,1,5,0
0,T9,creative,3,44,6,122,creative,0,5,1
0,T10,routine,1,81,17,161,creative,0,5,1
0,T11,routine,5,108,17,103,routine,2,5,1
0,T12,creative,5,99,19,102,routine,0,5,0
0,T13,admin,4,86,12,51,creative,2,5,0
0,T14,deep,5,45,18,159,admin,4,3,0
0,T15,routine,4,53,16,127,deep,3,3,0
0,T16,creative,4,86,14,2,routine,0,5,1
0,T17,creative,1,60,15,171,creative,1,3,1
0,T18,admin,1,67,17,38,creative,2,3,1
0,T19,admin,2,101,10,128,admin,1,4,0
0,T20,routine,4,64,16,122,admin,2,4,0
0,T21,deep,1,82,11,92,routine,2,4,1
0,T22,deep,4,105,12,51,deep,4,3,0
0,T23,deep,2,108,12,143,deep,3,4,0
0,T24,creative,3,18,14,98,deep,7,4,0
0,T25,admin,1,108,19,81,creative,3,3,0
0,T26,routine,4,17,12,144,admin,2,4,0
0,T27,admin,5,60,13,26,routine,2,5,0
0,T28,creative,4,70,21,146,admin,2,4,1
0,T29,creative,3,114,10,23,creative,2,3,0
0,T30,creative,5,41,6,66,creative,1,5,0
0,T31,deep,2,41,20,85,creative,1,4,0
0,T32,creative,1,18,16,175,deep,2,4,0
0,T33,creative,4,16,9,172,creative,1,4,1
0,T34,routine,3,96,20,91,creative,3,4,0
0,T35,creative,2,67,22,179,routine,0,5,1
0,T36,routine,5,106,13,52,creative,2,4,0
0,T37,routine,3,64,13,51,routine,0,4,1
0,T38,admin,3,26,10,116,routine,0,5,0
0,T39,creative,1,67,6,33,admin,1,3,0
0,T40,creative,1,25,12,68,creative,2,5,1
0,T41,creative,5,87,10,46,creative,0,4,1
0,T42,creative,4,25,21,84,creative,1,4,1
0,T43,admin,2,78,9,33,creative,1,5,1
0,T44,creative,5,118,9,15,admin,0,5,0
0,T45,routine,3,93,17,177,creative,1,3,0
0,T46,creative,4,76,6,160,routine,1,3,0
0,T47,deep,2,44,22,89,creative,2,4,1
0,T48,deep,4,67,18,74,deep,4,3,0
0,T49,deep,1,108,21,35,deep,2,4,1
0,T50,routine,1,64,18,22,deep,1,3,1
0,T51,routine,1,95,18,18,routine,1,3,0
0,T52,creative,4,87,20,143,routine,1,3,0
0,T53,creative,4,62,21,56,creative,0,3,0
0,T54,deep,2,14,8,74,creative,0,3,1
0,T55,routine,1,111,12,173,deep,1,4,0
0,T56,admin,5,38,10,165,routine,3,5,1
0,T57,creative,4,45,11,158,admin,2,4,1
0,T58,deep,3,54,18,125,creative,0,3,1
0,T59,deep,1,12,18,91,deep,2,3,1
0,T60,admin,2,53,18,159,deep,2,3,1
0,T61,creative,4,108,20,48,admin,3,5,0
0,T62,routine,2,105,21,101,creative,2,4,0
0,T63,routine,2,37,10,40,routine,1,5,1
0,T64,creative,5,93,18,156,routine,0,5,1
0,T65,admin,3,78,20,152,creative,3,5,0
0,T66,admin,1,27,20,176,admin,2,5,0
0,T67,creative,1,107,14,98,admin,0,3,1
0,T68,admin,4,90,10,94,creative,5,3,0
0,T69,admin,1,60,18,3,admin,2,5,1
0,T70,admin,2,43,8,122,admin,3,5,1
0,T71,routine,5,94,19,65,admin,6,5,1
0,T72,routine,1,47,6,78,routine,4,3,0
0,T73,routine,4,97,10,33,routine,2,5,1
0,T74,deep,1,32,21,94,routine,2,3,1
0,T75,deep,3,102,10,91,deep,1,4,1
0,T76,creative,4,99,19,33,deep,0,4,1
0,T77,creative,2,56,20,55,creative,2,4,0
0,T78,routine,1,108,20,46,creative,2,5,1
0,T79,admin,5,35,19,55,routine,0,5,1
0,T80,admin,3,118,11,114,admin,1,3,0
0,T81,deep,1,26,12,85,admin,1,3,1
0,T82,creative,4,19,8,108,deep,3,3,0
0,T83,admin,1,110,11,179,creative,2,3,0
0,T84,creative,1,62,11,69,admin,1,5,1
0,T85,admin,1,12,13,35,creative,4,4,1
0,T86,routine,3,71,7,78,admin,3,4,0
0,T87,deep,4,106,22,139,routine,0,4,1
0,T88,admin,5,20,9,76,deep,1,4,0
0,T89,creative,2,53,7,12,admin,1,5,1
0,T90,creative,1,84,20,151,creative,2,3,1
0,T91,routine,2,87,16,136,creative,1,3,1
0,T92,admin,4,73,13,10,routine,2,3,0
0,T93,deep,3,87,9,88,admin,3,4,1
0,T94,creative,1,32,20,152,deep,2,3,1
0,T95,deep,3,79,11,66,creative,2,5,0
0,T96,creative,4,103,12,154,deep,1,3,0
0,T97,deep,1,77,7,9,creative,2,3,1
0,T98,routine,5,97,20,156,deep,2,3,0
0,T99,deep,3,45,9,25,routine,1,5,0
0,T100,routine,2,55,16,139,deep,1,4,0
0,T101,deep,4,52,17,99,routine,2,5,0
0,T102,routine,2,18,19,39,deep,2,3,1
0,T103,admin,4,63,6,62,routine,1,5,1
0,T104,creative,5,18,15,179,admin,2,3,0
0,T105,admin,2,16,7,90,creative,1,5,1
0,T106,routine,1,80,11,87,admin,2,4,1
0,T107,creative,1,80,22,83,routine,3,3,0
0,T108,routine,5,103,22,172,creative,3,5,0
0,T109,admin,4,103,11,178,routine,1,3,0
0,T110,deep,2,83,19,161,admin,1,4,1
0,T111,routine,1,66,8,71,deep,0,5,1
0,T112,deep,1,101,20,7,routine,0,4,1
0,T113,admin,3,25,9,164,deep,1,5,0
0,T114,deep,2,16,6,150,admin,1,5,1
0,T115,routine,2,11,6,46,deep,3,5,1
0,T116,creative,5,47,14,52,routine,3,4,0
0,T117,deep,1,90,19,8,creative,2,4,1
0,T118,admin,4,35,18,97,deep,1,4,0
0,T119,admin,4,50,11,33,admin,3,4,0
0,T120,deep,1,40,11,167,admin,2,4,0
0,T121,admin,5,101,19,63,deep,2,3,0
0,T122,admin,5,30,16,39,admin,5,4,0
0,T123,routine,1,45,20,147,admin,2,5,1
0,T124,admin,1,35,7,72,routine,0,3,1
0,T125,creative,3,113,15,24,admin,3,4,0
0,T126,routine,3,110,17,48,creative,1,5,1
0,T127,routine,3,17,22,117,routine,5,4,0
0,T128,admin,1,32,12,13,routine,0,5,1
0,T129,routine,2,68,12,145,admin,3,3,0
0,T130,creative,3,49,17,38,routine,2,3,1
0,T131,creative,5,51,17,125,creative,3,3,0
0,T132,routine,3,48,19,28,creative,3,5,1
0,T133,admin,1,112,10,64,routine,1,4,1
0,T134,admin,4,27,10,152,admin,2,5,0
0,T135,routine,4,21,10,60,admin,3,5,1
0,T136,admin,1,80,9,58,routine,2,5,1
0,T137,admin,3,107,14,2,admin,3,3,1
0,T138,admin,1,70,15,162,admin,2,5,1
0,T139,routine,5,98,14,67,admin,1,3,0
0,T140,deep,4,38,14,152,routine,1,5,1
0,T141,creative,3,68,7,123,deep,1,3,0
0,T142,admin,5,69,21,27,creative,0,3,0
0,T143,creative,5,67,8,55,admin,4,3,0
0,T144,routine,1,22,16,44,creative,4,5,0
0,T145,creative,3,40,15,137,routine,3,4,1
0,T146,creative,4,48,7,12,creative,3,3,1
0,T147,admin,3,39,12,73,creative,3,3,0
0,T148,routine,4,105,9,67,admin,2,4,0
0,T149,admin,2,91,19,174,routine,2,3,0
0,T150,creative,3,42,11,110,admin,3,4,0
0,T151,routine,1,108,18,38,creative,2,4,0
0,T152,routine,3,36,8,80,routine,1,3,1
0,T153,routine,5,68,11,146,routine,2,4,0
0,T154,creative,3,73,22,24,routine,3,4,0
0,T155,creative,5,17,20,26,creative,3,3,1
0,T156,admin,3,29,19,14,creative,1,3,0
0,T157,routine,4,18,11,175,admin,1,4,0
0,T158,admin,3,73,18,71,routine,2,5,0
0,T159,routine,3,54,6,101,admin,3,3,0
0,T160,deep,4,29,6,167,routine,0,3,0
0,T161,creative,1,86,6,76,deep,0,4,1
0,T162,admin,2,55,20,105,creative,1,5,1
0,T163,deep,1,15,14,102,admin,4,4,1
0,T164,deep,3,93,21,131,deep,3,4,0
0,T165,admin,4,96,17,140,deep,2,4,0
0,T166,routine,5,62,17,81,admin,0,5,0
0,T167,routine,1,68,8,155,routine,2,5,1
0,T168,deep,4,58,10,3,routine,4,3,0
0,T169,creative,2,109,7,78,deep,2,5,1
0,T170,creative,4,12,18,17,creative,2,4,0
0,T171,routine,2,46,10,165,creative,1,3,0
0,T172,routine,1,93,7,69,routine,2,5,1
0,T173,deep,1,49,17,163,routine,2,5,1
0,T174,routine,2,102,15,75,deep,2,5,0
0,T175,creative,4,37,16,164,routine,3,5,1
0,T176,routine,3,70,19,129,creative,0,3,1
0,T177,creative,1,44,11,58,routine,2,4,1
0,T178,admin,3,52,7,49,creative,3,5,0
0,T179,routine,5,61,21,177,admin,2,3,0
0,T180,creative,5,95,20,33,routine,3,4,0
0,T181,routine,1,85,13,88,creative,2,4,1
0,T182,creative,1,99,7,62,routine,5,4,0
0,T183,admin,4,111,11,81,creative,3,4,0
0,T184,creative,5,24,6,75,admin,2,3,0
0,T185,creative,1,44,17,101,creative,0,5,1
0,T186,admin,2,75,19,8,creative,3,3,1
0,T187,creative,4,14,7,47,admin,4,4,0
0,T188,deep,5,30,16,79,creative,3,5,0
0,T189,creative,3,43,19,124,deep,4,4,0
0,T190,admin,2,58,18,131,creative,2,4,1
0,T191,deep,1,51,15,35,admin,1,4,1
0,T192,routine,5,115,20,122,deep,0,4,1
0,T193,admin,4,18,14,14,routine,4,4,0
0,T194,routine,2,33,9,59,admin,3,5,1
0,T195,deep,1,108,17,160,routine,1,3,1
0,T196,routine,3,19,14,77,deep,1,3,1
0,T197,deep,5,27,8,41,routine,4,5,0
0,T198,admin,2,41,12,108,deep,0,3,1
0,T199,deep,1,17,6,122,admin,2,4,0
1,T0,creative,2,76,17,124,routine,1,4,0
1,T1,admin,1,44,7,29,creative,2,3,1
1,T2,deep,1,64,21,105,admin,0,3,0
1,T3,routine,1,25,17,135,deep,3,4,0
1,T4,routine,4,74,11,149,routine,0,5,0
1,T5,creative,4,47,7,141,routine,0,5,1
1,T6,admin,1,94,7,74,creative,4,4,1
1,T7,admin,4,110,15,11,admin,1,4,0
1,T8,admin,2,39,19,133,admin,1,4,1
1,T9,creative,3,75,7,162,admin,4,4,0
1,T10,deep,1,119,21,53,creative,5,3,0
1,T11,creative,4,54,17,31,deep,0,3,1
1,T12,routine,2,102,11,159,creative,1,5,1
1,T13,deep,5,92,7,9,routine,1,4,0
1,T14,routine,1,96,14,98,deep,0,4,1
1,T15,deep,4,106,9,3,routine,4,4,0
1,T16,deep,5,72,8,6,deep,2,3,1
1,T17,admin,2,71,11,78,deep,2,3,0
1,T18,creative,2,118,10,172,admin,0,3,0
1,T19,routine,3,72,9,33,creative,2,3,0
1,T20,creative,2,30,15,140,routine,0,3,1
1,T21,creative,1,11,21,28,creative,2,3,0
1,T22,deep,2,17,13,176,creative,1,3,0
1,T23,routine,4,74,10,7,deep,0,3,1
1,T24,creative,5,60,8,151,routine,0,3,0
1,T25,deep,4,20,20,134,creative,2,3,0
1,T26,routine,2,47,20,111,deep,4,4,0
1,T27,routine,4,87,14,168,routine,3,5,1
1,T28,admin,5,62,21,31,routine,1,4,0
1,T29,routine,2,64,14,152,admin,2,4,1
1,T30,admin,4,94,17,31,routine,1,3,0
1,T31,routine,1,21,14,174,admin,2,4,0
1,T32,deep,4,105,16,85,routine,2,3,0
1,T33,creative,5,88,20,150,deep,4,5,0
1,T34,deep,5,39,12,107,creative,2,4,0
1,T35,routine,1,117,10,2,deep,1,4,1
1,T36,creative,2,30,19,154,routine,3,4,1
1,T37,admin,4,90,19,13,creative,5,5,1
1,T38,routine,5,13,15,23,admin,1,4,0
1,T39,routine,5,83,11,173,routine,2,5,1
1,T40,creative,3,97,10,79,routine,2,4,1
1,T41,deep,4,69,22,62,creative,0,4,1
1,T42,routine,2,111,9,18,deep,1,5,1
1,T43,creative,2,72,22,46,routine,5,5,0
1,T44,deep,4,84,12,136,creative,2,4,0
1,T45,creative,3,103,18,80,deep,2,5,1
1,T46,deep,5,102,10,48,creative,4,5,0
1,T47,creative,1,109,11,40,deep,1,3,0
1,T48,routine,1,45,17,105,creative,1,5,1
1,T49,admin,2,89,21,105,routine,2,5,1
1,T50,admin,3,66,9,177,admin,2,4,1
1,T51,deep,4,97,20,175,admin,1,4,1
1,T52,admin,5,91,10,130,deep,2,5,1
1,T53,routine,4,70,14,160,admin,1,4,0
1,T54,admin,1,90,7,27,routine,1,4,1
1,T55,admin,2,74,15,84,admin,1,3,0
1,T56,admin,3,48,17,87,admin,1,5,1
1,T57,routine,3,72,22,31,admin,1,5,0
1,T58,routine,5,88,19,154,routine,4,4,0
1,T59,routine,1,51,8,5,routine,2,5,1
1,T60,deep,3,21,15,7,routine,2,3,0
1,T61,creative,2,51,11,11,deep,1,3,1
1,T62,admin,3,49,11,160,creative,1,3,0
1,T63,routine,3,110,9,109,admin,0,3,1
1,T64,admin,1,72,18,118,routine,0,4,1
1,T65,routine,4,111,10,24,admin,0,3,1
1,T66,admin,5,108,14,115,routine,1,3,0
1,T67,deep,4,117,14,130,admin,2,4,0
1,T68,creative,3,61,7,40,deep,2,5,0
1,T69,admin,1,78,17,138,creative,2,3,1
